Sweep Target,Sweep Value,Year,Cumulative Cash
Cert Multiplier,1.5,4,5643765.105740197
Cert Multiplier,1.5,5,15638765.105740197
Cert Multiplier,1.5,6,25633765.105740197
Cert Multiplier,1.5,7,35628765.1057402
Cert Multiplier,1.5,8,45623765.1057402
Cert Multiplier,1.5,9,55618765.1057402
Cert Multiplier,1.5,10,65613765.1057402
Cert Multiplier,1.6,0,-16350000.0
Cert Multiplier,1.6,1,-12929577.03927492
Cert Multiplier,1.6,2,-9509154.07854984
Cert Multiplier,1.6,3,-6088731.117824758
Cert Multiplier,1.6,4,3906268.8821752416
Cert Multiplier,1.6,5,13901268.88217524
Cert Multiplier,1.6,6,23896268.88217524
Cert Multiplier,1.6,7,33891268.88217524
Cert Multiplier,1.6,8,43886268.88217524
Cert Multiplier,1.6,9,53881268.88217524
Cert Multiplier,1.6,10,63876268.88217524
Cert Multiplier,1.7,0,-17137500.0
Cert Multiplier,1.7,1,-14033742.447129903
Cert Multiplier,1.7,2,-10929984.894259807
Cert Multiplier,1.7,3,-7826227.34138971
Cert Multiplier,1.7,4,2168772.65861029
Cert Multiplier,1.7,5,12163772.65861029
Cert Multiplier,1.7,6,22158772.65861029
Cert Multiplier,1.7,7,32153772.65861029
Cert Multiplier,1.7,8,42148772.65861029
Cert Multiplier,1.7,9,52143772.65861029
Cert Multiplier,1.7,10,62138772.65861029
Cert Multiplier,1.8,0,-17925000.0
Cert Multiplier,1.8,1,-15137907.854984887
Cert Multiplier,1.8,2,-12350815.709969774
Cert Multiplier,1.8,3,-9563723.56495466
Cert Multiplier,1.8,4,431276.43504533917
Cert Multiplier,1.8,5,10426276.43504534
Cert Multiplier,1.8,6,20421276.43504534
Cert Multiplier,1.8,7,30416276.43504534
Cert Multiplier,1.8,8,40411276.43504534
Cert Multiplier,1.8,9,50406276.43504534
Cert Multiplier,1.8,10,60401276.43504534
Cert Multiplier,1.9,0,-18712500.0
Cert Multiplier,1.9,1,-16242073.262839872
Cert Multiplier,1.9,2,-13771646.525679745
Cert Multiplier,1.9,3,-11301219.788519617
Cert Multiplier,1.9,4,-1306219.7885196172
Cert Multiplier,1.9,5,8688780.211480383
Cert Multiplier,1.9,6,18683780.211480383
Cert Multiplier,1.9,7,28678780.211480383
Cert Multiplier,1.9,8,38673780.21148038
Cert Multiplier,1.9,9,48668780.21148038
